City_ID,City,Country,Lat,Lng,Max Temp,Cloudiness,Wind Speed,Current Description
83,Saint-Joseph,RE,-21.3667,55.6167,68.38,22,5.68,few clouds
84,Berlevag,NO,70.8578,29.0864,42.24,100,22.3,overcast clouds
85,East London,ZA,-33.0153,27.9116,56.39,100,9.71,overcast clouds
86,Ligayan,PH,4.6533,119.4706,83.75,98,2.62,overcast clouds
87,Belaya Gora,RU,68.5333,146.4167,66.18,57,13.38,broken clouds
88,Shieli,KZ,44.1667,66.75,79.88,57,8.46,broken clouds
89,Thompson,CA,55.7435,-97.8558,59.16,20,9.22,few clouds
90,Tasiilaq,GL,65.6145,-37.6368,37.56,99,4.27,overcast clouds
91,Diamantino,BR,-14.4086,-56.4461,75.31,100,0.98,overcast clouds
92,Ginir,ET,7.1333,40.7,55.38,95,5.37,overcast clouds
93,Cabo San Lucas,MX,22.8909,-109.9124,95.0,1,13.8,clear sky
94,Port Hardy,CA,50.6996,-127.4199,57.38,75,11.5,broken clouds
95,Gorontalo,ID,0.5412,123.0595,83.62,100,1.88,overcast clouds
96,Kruisfontein,ZA,-34.0033,24.7314,49.68,18,5.66,few clouds
97,Kozelsk,RU,54.0375,35.7716,46.4,100,4.47,overcast clouds
98,Kavaratti,IN,10.5669,72.642,82.56,100,17.31,overcast clouds
99,Port Alfred,ZA,-33.5906,26.891,57.83,100,15.57,overcast clouds
100,Labuan,MY,5.2767,115.2417,82.4,20,3.44,few clouds
101,Jiblah,YE,13.9216,44.1467,68.09,0,3.11,clear sky
102,Vilhena,BR,-12.7406,-60.1458,69.89,51,3.11,broken clouds
103,Coihaique,CL,-45.5752,-72.0662,40.95,40,0.0,scattered clouds
104,Tocopilla,CL,-22.092,-70.1979,66.58,98,8.1,overcast clouds
105,Petatlan,MX,17.5167,-101.2667,84.94,49,3.69,scattered clouds
106,Cape Town,ZA,-33.9258,18.4232,57.11,20,1.99,light rain
107,San Patricio,US,28.017,-97.5169,82.4,75,13.8,broken clouds
108,Phan Thiet,VN,10.9333,108.1,86.04,8,7.87,clear sky
109,Khatanga,RU,71.9667,102.5,47.34,100,7.72,overcast clouds
110,Brantford,CA,43.1334,-80.2664,64.63,11,6.53,few clouds
111,Golden,US,39.7555,-105.2211,52.0,75,13.8,broken clouds
112,Ishigaki,JP,24.3448,124.1572,84.33,75,8.05,broken clouds
