City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Oranjemund,NA,2021-05-25 22:03:22,-28.55,16.4333,58.21,97,26,5.75
68,Mar Del Plata,AR,2021-05-25 22:03:22,-38.0023,-57.5575,53.1,60,17,8.99
69,San Patricio,US,2021-05-25 22:03:22,28.017,-97.5169,86.72,73,76,17.74
70,Arraial Do Cabo,BR,2021-05-25 22:03:23,-22.9661,-42.0278,69.66,61,63,7.76
71,Vila Velha,BR,2021-05-25 21:59:01,-20.3297,-40.2925,73.35,79,75,1.99
72,Vao,NC,2021-05-25 22:03:23,-22.6667,167.4833,71.55,58,16,15.14
73,Georgetown,MY,2021-05-25 22:03:23,5.4112,100.3354,82.89,82,20,6.85
74,Rio Gallegos,AR,2021-05-25 22:01:18,-51.6226,-69.2181,37.22,73,38,22.24
75,North Myrtle Beach,US,2021-05-25 21:59:14,33.816,-78.68,84.36,81,52,3.0
76,Atuona,PF,2021-05-25 22:03:23,-9.8,-139.0333,79.93,61,30,13.98
77,Ketchikan,US,2021-05-25 22:03:24,55.3422,-131.6461,49.24,77,96,8.25
78,Black Diamond,US,2021-05-25 22:03:24,47.3087,-122.0032,64.36,71,89,1.99
79,Castro,BR,2021-05-25 22:00:52,-24.7911,-50.0119,50.49,64,52,1.36
80,Kavieng,PG,2021-05-25 22:03:24,-2.5744,150.7967,78.75,87,100,6.93
81,Khabary,RU,2021-05-25 22:03:24,53.6259,79.5345,68.97,61,7,4.99
82,Klaksvik,FO,2021-05-25 22:03:25,62.2266,-6.589,49.12,91,95,17.2
83,Alofi,NU,2021-05-25 22:03:25,-19.0595,-169.9187,75.09,94,90,16.11
84,Arlit,NE,2021-05-25 22:03:25,18.7369,7.3853,90.61,5,0,12.28
85,Nikolskoye,RU,2021-05-25 22:03:25,59.7035,30.7861,48.09,79,100,5.95
86,Torbay,CA,2021-05-25 21:58:59,47.6666,-52.7314,49.57,65,90,24.16
87,Karaton,ID,2021-05-25 22:03:26,-6.3424,106.1045,78.96,90,92,2.82
88,Jamestown,US,2021-05-25 21:59:54,42.097,-79.2353,83.08,75,94,9.48
89,Natchez,US,2021-05-25 22:03:26,31.5604,-91.4032,86.22,60,90,11.5
90,Cabo San Lucas,MX,2021-05-25 22:03:26,22.8909,-109.9124,96.51,35,20,5.75
91,Seydi,TM,2021-05-25 22:03:26,39.4816,62.9137,82.13,19,1,6.2
92,Adrar,MR,2021-05-25 22:03:27,20.5022,-10.0711,89.69,18,86,17.02
93,Myrtle Beach,US,2021-05-25 22:03:27,33.6891,-78.8867,86.27,72,1,12.66
94,Kahului,US,2021-05-25 22:03:27,20.8947,-156.47,87.82,58,75,19.57
95,Tongzi,CN,2021-05-25 22:03:27,28.7829,105.0877,63.27,92,100,3.24
96,Quatre Cocos,MU,2021-05-25 22:03:28,-20.2078,57.7625,71.71,76,19,9.28
97,Tuatapere,NZ,2021-05-25 22:03:28,-46.1333,167.6833,41.61,63,71,4.45
98,Saldanha,ZA,2021-05-25 22:03:28,-33.0117,17.9442,58.12,82,12,3.15
99,Boa Esperanca,BR,2021-05-25 21:59:12,-21.09,-45.5658,64.27,33,85,4.05
100,Arroyo,ES,2021-05-25 22:03:28,41.6096,-4.7969,55.44,58,0,7.99
101,Mapastepec,MX,2021-05-25 22:03:29,15.4333,-92.9,86.9,71,93,4.29
102,Coahuayana,MX,2021-05-25 22:03:29,18.7333,-103.6833,96.28,41,24,7.76
103,Biak,ID,2021-05-25 22:03:29,-0.9131,122.8766,76.28,82,87,5.75
104,Carnarvon,AU,2021-05-25 22:03:30,-24.8667,113.6333,63.59,41,90,11.21
105,Port Elizabeth,ZA,2021-05-25 22:00:21,-33.918,25.5701,57.09,89,36,11.07
106,Port Alfred,ZA,2021-05-25 22:03:30,-33.5906,26.891,64.35,89,73,13.24
107,Grand Gaube,MU,2021-05-25 21:59:43,-20.0064,57.6608,72.0,82,10,4.0
108,Saskylakh,RU,2021-05-25 22:03:30,71.9167,114.0833,46.44,61,98,4.63
109,Severomuysk,RU,2021-05-25 22:03:30,56.1481,113.4267,30.22,76,10,1.23
110,Saint-Philippe,RE,2021-05-25 22:03:31,-21.3585,55.7679,71.15,86,49,8.37
111,Hilo,US,2021-05-25 22:03:08,19.7297,-155.09,80.8,80,90,13.8
112,Taoudenni,ML,2021-05-25 22:03:31,22.6783,-3.9836,102.63,14,78,11.95
113,Mnogovershinnyy,RU,2021-05-25 22:03:31,53.9353,139.9242,34.32,86,100,3.65
114,Dingle,PH,2021-05-25 21:59:09,10.9995,122.6711,78.66,85,100,3.38
115,Hasaki,JP,2021-05-25 22:03:01,35.7333,140.8333,64.8,69,100,9.17
116,New Norfolk,AU,2021-05-25 22:03:32,-42.7826,147.0587,49.87,74,60,1.99
117,Barrow,US,2021-05-25 22:03:32,71.2906,-156.7887,26.62,86,90,6.91
118,Coruripe,BR,2021-05-25 22:03:32,-10.1256,-36.1756,76.87,82,18,8.12
119,Naze,JP,2021-05-25 22:03:32,28.3667,129.4833,67.12,65,100,3.58
120,Merke,KZ,2021-05-25 22:03:32,42.8728,73.1786,65.14,49,32,5.64
121,Narsaq,GL,2021-05-25 22:03:33,60.9167,-46.05,41.22,66,50,4.5
122,Montepuez,MZ,2021-05-25 21:59:19,-13.1256,38.9997,59.34,97,16,4.56
123,Bilibino,RU,2021-05-25 22:03:33,68.0546,166.4372,43.93,70,100,6.13
124,Ribeira Grande,PT,2021-05-25 22:03:33,38.5167,-28.7,64.54,91,100,18.14
125,Longyearbyen,SJ,2021-05-25 21:59:59,78.2186,15.6401,30.04,80,75,16.11
126,Sisimiut,GL,2021-05-25 22:03:34,66.9395,-53.6735,30.04,62,52,4.34
127,Lazaro Cardenas,MX,2021-05-25 22:00:02,17.9583,-102.2,87.22,47,88,13.56
128,Belmonte,BR,2021-05-25 22:03:34,-15.8631,-38.8828,79.3,80,4,6.22
129,Umba,RU,2021-05-25 22:03:34,66.6871,34.3429,38.57,72,88,4.92
130,East London,ZA,2021-05-25 22:00:49,-33.0153,27.9116,66.11,82,71,11.9
131,Half Moon Bay,US,2021-05-25 22:03:34,37.4636,-122.4286,80.82,63,20,12.71
132,Morehead,US,2021-05-25 22:03:35,37.2711,-87.1764,89.31,40,40,8.05
133,Deputatskiy,RU,2021-05-25 22:03:35,69.3,139.9,45.09,49,1,14.52
134,Atambua,ID,2021-05-25 22:03:35,-9.1061,124.8925,70.57,89,20,4.79
135,Bambanglipuro,ID,2021-05-25 22:03:35,-7.95,110.2833,75.34,92,76,3.15
136,Faya,SA,2021-05-25 21:59:48,18.3851,42.4509,68.11,41,46,2.73
137,Liaocheng,CN,2021-05-25 22:03:36,36.4439,115.9647,70.3,49,51,20.07
138,Khani,GE,2021-05-25 22:02:17,41.9563,42.9566,53.17,97,81,1.21
139,Maningrida,AU,2021-05-25 22:03:36,-12.0667,134.2667,70.43,87,13,9.71
140,Anahuac,MX,2021-05-25 22:01:01,27.2333,-100.15,96.6,34,0,19.04
141,Charters Towers,AU,2021-05-25 22:03:36,-20.1,146.2667,64.63,78,49,10.11
142,Hurghada,EG,2021-05-25 22:01:00,27.2574,33.8129,80.69,35,0,10.8
143,Cajnice,BA,2021-05-25 22:03:37,43.5575,19.0711,53.46,95,25,4.09
144,Rzhaksa,RU,2021-05-25 22:03:37,52.1338,42.0264,52.52,78,20,6.26
145,College,US,2021-05-25 21:58:45,64.8569,-147.8028,67.59,37,31,1.99
146,Vila Franca Do Campo,PT,2021-05-25 22:03:37,37.7167,-25.4333,64.81,83,100,9.64
147,Chapais,CA,2021-05-25 21:59:52,49.7834,-74.8492,64.18,90,100,10.02
148,Buturlino,RU,2021-05-25 22:03:37,55.5667,44.8974,49.64,77,22,5.32
149,Kodiak,US,2021-05-25 22:03:38,57.79,-152.4072,54.91,50,1,6.91
150,Kendari,ID,2021-05-25 22:03:38,-3.945,122.4989,73.87,95,39,3.11
151,Upernavik,GL,2021-05-25 22:03:38,72.7868,-56.1549,36.16,84,94,3.04
152,Ilheus,BR,2021-05-25 22:03:38,-14.7889,-39.0494,74.07,82,2,5.14
153,Pinawa,CA,2021-05-25 22:03:39,50.1489,-95.8811,53.51,91,100,9.75
154,Haines Junction,CA,2021-05-25 22:03:39,60.7522,-137.5108,53.06,59,93,2.98
155,Sao Filipe,CV,2021-05-25 22:03:39,14.8961,-24.4956,74.1,74,0,10.69
156,Pevek,RU,2021-05-25 22:03:39,69.7008,170.3133,32.36,86,99,2.59
157,Ranong,TH,2021-05-25 22:03:40,9.9658,98.6348,79.65,81,100,9.19
158,Sorrento,IT,2021-05-25 22:03:40,40.626,14.3744,63.27,71,35,9.1
159,Mananjary,MG,2021-05-25 22:03:40,-21.2167,48.3333,66.65,91,29,5.01
160,Mmabatho,ZA,2021-05-25 22:01:07,-25.85,25.6333,51.08,53,100,3.67
161,Atbasar,KZ,2021-05-25 22:03:41,51.8,68.3333,75.94,25,1,5.66
162,Regeneracao,BR,2021-05-25 22:03:41,-6.2378,-42.6883,79.34,48,10,2.89
163,Eyl,SO,2021-05-25 22:03:41,7.9803,49.8164,79.36,75,9,22.64
164,Conakry,GN,2021-05-25 22:03:41,9.538,-13.6773,78.89,80,100,9.84
165,Alice Springs,AU,2021-05-25 22:03:42,-23.7,133.8833,49.55,46,38,9.28
166,North Bend,US,2021-05-25 22:03:42,43.4065,-124.2243,60.98,81,90,11.5
167,Madimba,TZ,2021-05-25 22:03:42,-10.4,40.3333,70.48,87,37,8.3
168,Sokoto,NG,2021-05-25 22:03:42,13.0609,5.239,91.6,24,75,6.6
169,Ponta Do Sol,PT,2021-05-25 22:03:43,32.6667,-17.1,66.0,57,71,8.23
170,Mahebourg,MU,2021-05-25 22:03:43,-20.4081,57.7,71.89,88,20,2.3
171,Luena,AO,2021-05-25 22:03:43,-11.7833,19.9167,52.61,66,50,3.36
172,Lavrentiya,RU,2021-05-25 22:03:43,65.5833,-171.0,38.34,84,76,10.56
173,Richards Bay,ZA,2021-05-25 22:02:52,-28.783,32.0377,63.39,73,80,9.44
174,Lisakovsk,KZ,2021-05-25 22:03:44,52.5369,62.4936,75.31,29,12,7.36
175,Katsuura,JP,2021-05-25 22:03:44,35.1333,140.3,72.19,77,95,13.87
176,Tadine,NC,2021-05-25 22:03:44,-21.55,167.8833,72.9,54,89,16.31
177,Dapdap,PH,2021-05-25 22:03:44,12.062,125.4881,79.81,85,98,2.01
178,Dhule,IN,2021-05-25 22:03:45,20.9,74.7833,86.22,47,100,20.8
179,Chilca,PE,2021-05-25 22:03:45,-12.5211,-76.7372,66.36,85,93,4.65
180,Nogliki,RU,2021-05-25 22:03:45,51.8333,143.1667,35.17,96,100,6.71
181,Tazmalt,DZ,2021-05-25 22:03:45,36.3868,4.3989,62.98,80,93,3.96
182,Mopipi,BW,2021-05-25 22:03:46,-21.1833,24.8833,57.49,47,5,6.73
183,Pacific Grove,US,2021-05-25 22:03:46,36.6177,-121.9166,81.16,78,40,5.01
184,Ishigaki,JP,2021-05-25 22:03:46,24.3448,124.1572,82.53,80,40,11.23
185,Ossora,RU,2021-05-25 22:03:47,59.2353,163.0719,35.22,99,100,5.23
186,Khatanga,RU,2021-05-25 22:03:47,71.9667,102.5,30.85,97,100,6.38
187,Goure,NE,2021-05-25 22:03:47,13.9835,10.2704,91.02,9,3,8.93
188,Chuy,UY,2021-05-25 22:03:47,-33.6971,-53.4616,53.26,79,1,7.99
189,Ilinge,ZA,2021-05-25 22:03:48,-31.9768,27.0427,52.05,53,78,4.32
190,Namibe,AO,2021-05-25 22:03:48,-15.1961,12.1522,73.87,71,0,2.8
191,Manaure,CO,2021-05-25 22:03:48,11.7751,-72.4445,87.82,57,97,22.95
192,Venice,US,2021-05-25 22:03:17,27.0998,-82.4543,91.98,66,1,11.5
193,Marienburg,PL,2021-05-25 22:03:49,54.0359,19.0266,49.66,91,100,8.03
194,Kayes,ML,2021-05-25 22:02:09,14.0,-11.0,98.11,18,99,2.95
